Burrow,X,Y,Slope,Heading,Elev,Lat,Lon,Length,Cover
A22a,570,5,NA,NA,NA,30.394479,-86.721358,25.4,NA
A22b,565,0,NA,NA,NA,30.39445,-86.72147,37.6,NA
A22c,,,NA,NA,NA,30.394479,-86.721358,,NA
A42,,,NA,NA,NA,NA,NA,,NA
A50a,150,0,NA,NA,NA,30.394316,-86.725746,18.6,NA
A50b,145,0,NA,NA,NA,30.394316,-86.725746,12.8,NA
B30,,,NA,NA,NA,30.39446,-86.722726,,NA
B50,150,15,NA,NA,NA,30.394479,-86.725716,29.3,NA
B60a,5,15,NA,NA,NA,30.394415,-86.727292,11.9,NA
B60b,0,15,NA,NA,NA,30.394415,-86.727292,NA,NA
C50,,,NA,NA,NA,30.394527,-86.725774,39.1,NA
C51,135,30,NA,NA,NA,30.394623,-86.725996,33.2,NA
C59,,,NA,NA,NA,30.394451,-86.727238,,NA
C60a,,,NA,NA,NA,30.394492,-86.727415,,NA
C60b,0,30,NA,NA,NA,30.394492,-86.727415,20.7,NA
D1,885,45,NA,NA,NA,30.395085,-86.718219,26.7,NA
D2,870,45,NA,NA,NA,30.394993,-86.718346,31.5,NA
D21,585,45,NA,NA,NA,30.394909,-86.721313,,NA
D23,555,45,NA,NA,NA,30.394808,-86.721659,15.9,NA
D29,,,NA,NA,NA,30.394798,-86.722578,,NA
D45,,,NA,NA,NA,30.394789,-86.725087,,NA
D50,,,NA,NA,NA,30.394126,-86.725914,,NA
D52,120,45,NA,NA,NA,30.394611,-86.725983,133.8,NA
D53,,,NA,NA,NA,30.394697,-86.72634,,NA
E13a,705,59,NA,NA,NA,30.395048,-86.720068,,NA
E13b,704,60,NA,NA,NA,30.395048,-86.720068,23.8,NA
E13c,705,60,NA,NA,NA,30.395033,-86.720068,8.1,NA
E45,,,NA,NA,NA,NA,NA,,NA
E59,,,NA,NA,NA,30.394824,-86.727324,,NA
F22a,570,75,NA,NA,NA,30.395025,-86.72145,12.3,NA
F22b,567,77,NA,NA,NA,30.395044,-86.721481,15.2,NA
F31a,435,75,NA,NA,NA,30.395135,-86.722946,33.3,NA
F31b,440,75,NA,NA,NA,30.395135,-86.722946,22.3,NA
F49,,,NA,NA,NA,30.394451,-86.727238,,NA
F50,,,NA,NA,NA,30.395617,-86.725808,,NA
F54,90,75,NA,NA,NA,30.394942,-86.726554,45.4,NA
G1a,890,124,NA,NA,NA,30.395816,-86.718195,,NA
G1b,894,120,NA,NA,NA,30.395784,-86.718149,20.5,NA
G39,315,90,NA,NA,NA,30.395394,-86.724006,,NA
G47,,,NA,NA,NA,NA,NA,,NA
G48,180,90,NA,NA,NA,30.39558,-86.72525,46.3,NA
G49a,180,215,NA,NA,NA,30.39548,-86.725538,18.8,NA
G49b,165,190,NA,NA,NA,30.39558,-86.72525,39.2,NA
H1,1020,30,NA,NA,NA,30.395071,-86.716686,37.9,NA
