Burrow,X,Y,Slope,Heading,Elev,Lat,Lon,Length,Cover
A2a,676.8,-11.5,22.25,116,10,30.394518,-86.7212705,43,93
A2b,677.3,-12.3,20.75,141.67,20,30.3945155,-86.721247,28.5,33.29
A2c,678,-9.4,27.25,358.33,10,30.394528,-86.721247,41.5,78.49
A66a,40.8,-3,16,177.33,10,30.394286,-86.728047,31.5,3.01
A67,32.4,1.6,11.75,199.33,20,30.394323,-86.728141,30,33.33
B21,490.8,6.6,19.25,218,0,30.3945275,-86.723352,12.7,43.21
B22,483.4,10.7,20.5,306,20,30.394578,-86.723457,25.4,90.38
B59a,112.5,6.4,17,329,30,30.394567,-86.727354,NA,93.66
B59b,116.1,7.8,10.25,293,0,30.394585,-86.727333,19.5,24.66
C1,716.8,20.7,15.75,264.67,30,30.3948545,-86.720935,NA,56.63
C19,512.4,19.4,22,301,30,30.394626,-86.7230675,26.67,58.68
C49,213,20,30.67,83,30,30.3947895,-86.726311,37.5,54.9
C68,18.5,16,14.5,329,20,30.3944435,-86.7283045,NA,74.46
D1b,687,31.3,11.25,118,NA,30.3949225,-86.7212615,NA,37.05
D57,128.7,28.4,16.5,67.67,10,30.394773,-86.72723,17.5,87.97
D9a,616.6,28.6,13,184,10,30.3947825,-86.721963,NA,11.4
D9b,621.6,29,16.75,170.33,30,30.394773,-86.72194,27,20.24
E16,540,44,14,298.33,20,30.394848,-86.722825,25.4,79.22
E69,3.4,42.3,26.5,41,50,30.3946575,-86.728548,63.5,46.18
E70a,0.3,42.8,23.75,58,30,30.394616,-86.7285505,31.75,19.9
E70b,-5,40.5,9.25,206,50,30.3946735,-86.728587,60.96,80.09
F16,549.2,49.8,12,159.33,10,30.394924,-86.7227145,49.53,26.53
F23a,468.7,47.6,22.25,95.67,10,30.394874,-86.723626,38.1,30.96
F62,83,45.1,23.5,40.67,10,30.3947885,-86.727742,13.97,98.87
F70a,1.3,50,21.25,302.67,10,30.394682,-86.728615,NA,49.3
G2,670.9,53.7,28.25,93.67,20,30.3950945,-86.721446,26.5,58.19
G4a,658.4,61,35.5,61.33,40,30.3951095,-86.721601,66,25.77
G4b,656.1,61.8,43.5,42.67,10,30.3951105,-86.721601,18,61.3
G60,99.3,62.4,19,266.33,10,30.3949705,-86.727608,38.1,42.89
G6a,640.5,61.5,38.25,177.67,30,30.395096,-86.72178,43.5,66.53
G6b,641.4,66.2,13.25,61.67,40,30.395128,-86.721779,62.23,40.48
H15a,544.7,66.5,23,178,10,30.3950405,-86.7227625,45.72,88.46
H15c,545.5,71.2,31.5,332.67,10,30.3950785,-86.7228125,85.09,84.92
H2,683.3,66.5,38,40.33,10,30.3952065,-86.7213495,NA,98.13
H31a,385.4,68.6,26.25,119.33,30,30.395019,-86.7245175,NA,54.09
H41b,289.6,73,27.25,74.33,40,30.395166,-86.725494,11,57.4
H58a,117.5,67.3,16.75,96.33,10,30.395092,-86.72745,NA,43.93
H58b,119.4,68.2,17.5,49.33,10,30.3951025,-86.7274375,16.5,88.16
I17,529.5,75.6,9.25,273.67,10,30.3950715,-86.7229895,17.78,65.58
I31,386.7,81,23.75,293,30,30.395189,-86.724437,22.5,92.74
A65,NA,NA,NA,NA,NA,30.394303,-86.727874,NA,NA
A66b,NA,NA,NA,NA,NA,30.394291,-86.728039,NA,NA
A9,610,0,NA,NA,NA,30.394502,-86.722,NA,NA
B16,NA,NA,NA,NA,NA,30.394639,-86.722781,NA,NA
B60,NA,NA,NA,NA,NA,30.394544,-86.727428,NA,NA
D1c,NA,NA,NA,NA,NA,30.39489,-86.721246,NA,NA
F70b,1.3,50,21.25,302.67,NA,30.394682,-86.728615,93.98,49.3
G42,NA,NA,NA,NA,NA,30.395124,-86.725523,NA,NA
H15b,NA,NA,NA,NA,NA,30.395026,-86.722707,NA,NA
H31b,NA,NA,NA,NA,NA,30.395107,-86.724512,NA,NA
