Date,Trap,ID,Recap,RFID,Sex,Age,Scrot,Preg,TL,TV,WT,Type,AccTrap
17-11-12,G6,91,RECAP,455543,F,Adult,NA,no,134,48,14.5,A,R6.4
17-11-13,G6,91,RECAP,455543,F,Adult,NA,no,134,48,15,A,R6.1
17-11-18,D1,91,RECAP,455543,F,Adult,NA,no,134,48,13,A,R9.1
17-11-14,A2,94,RECAP,654563,F,Adult,NA,no,122,49,13,A,R7.4
17-11-15,A2,94,RECAP,654563,F,Adult,NA,no,122,49,12,A,R7.2
17-11-18,D9,94,RECAP,654563,F,Adult,NA,no,122,49,13,A,R11.2
17-11-20,A2,94,RECAP,654563,F,Adult,NA,no,122,49,14,A,R5.2
17-11-17,H15,95,RECAP,955493,F,Adult,NA,no,130,48,10,A,R10.1
17-11-19,H15,95,RECAP,955493,F,Adult,NA,no,130,48,12,A,R31.1
17-11-20,H41,95,RECAP,955493,F,Adult,NA,no,130,48,13,A,R12.2
17-11-11,C1,96,RECAP,155513,F,Adult,NA,yes,126,49,NA,A,R1.1
17-11-14,A2,96,RECAP,155513,F,Adult,NA,no,126,49,12,A,R7.2
17-11-15,A2,96,RECAP,155513,F,Adult,NA,no,126,49,11,A,R7.3
17-11-17,D1,96,RECAP,155513,F,Adult,NA,no,126,49,13,A,R9.1
17-11-18,D1,96,RECAP,155513,F,Adult,NA,no,126,49,12,A,R9.4
17-11-19,D1,96,RECAP,155513,F,Adult,NA,no,126,49,11,A,R9.3
17-11-20,A2,96,RECAP,155513,F,Adult,NA,no,126,49,12,A,R5.3
17-11-17,F23,97,RECAP,853483,F,Adult,NA,no,123,47,13,A,R14.1
17-11-20,B22,97,RECAP,853483,F,Adult,NA,yes,123,47,14,A,R16.1
17-11-10,C1,102,RECAP,655563,F,Juvenile,NA,no,106,43,9,A,R1.1
17-11-14,A2,102,RECAP,655563,F,Juvenile,NA,no,106,43,9,A,R7.1
17-11-18,D9,103,RECAP,555553,F,Juvenile,NA,no,103,43,9,A,R11.1
17-11-20,A2,103,RECAP,555553,F,Juvenile,NA,no,103,43,8.5,A,R5.1
17-11-10,C1,107,new,450543,F,Adult,NA,no,132,49,15.5,A,R1.2
17-11-11,C1,107,RECAP,450543,F,Adult,NA,no,132,49,12.5,A,R1.2
17-11-18,D1,107,RECAP,450543,F,Adult,NA,no,132,49,13,A,R9.2
17-11-19,D1,107,RECAP,450543,F,Adult,NA,no,132,49,14,A,R9.1
17-11-18,E16,115,RECAP,550553,F,Adult,NA,no,124,46,12,A,R14.1
17-11-18,H41,123,RECAP,954483,F,Subadult,NA,no,124,50,11,A,R12.1
17-11-20,C68,124,RECAP,555543,F,Adult,NA,no,125,47,11,A,R21.1
17-11-12,G6,92,RECAP,154513,M,Adult,no,NA,136,48,11.5,A,R6.3
17-11-15,A2,92,RECAP,154513,M,Adult,yes,NA,136,48,11,A,R7.1
17-11-17,G4,92,RECAP,154513,M,Adult,yes,NA,136,48,10,A,R2.2
17-11-18,D1,92,RECAP,154513,M,Adult,yes,NA,136,48,11,A,R9.3
17-11-19,G4,92,RECAP,154513,M,Adult,no,NA,136,48,13,A,R2.1
17-11-20,G4,92,RECAP,154513,M,Adult,yes,NA,136,48,12,A,R2.1
17-11-14,A2,93,RECAP,554553,M,Adult,yes,NA,118,42,11,A,R7.3
17-11-19,A9,93,RECAP,554553,M,Adult,no,NA,118,42,12,A,A9.3
17-11-17,C19,99,RECAP,755573,M,Adult,yes,NA,125,49,10,A,R4.2
17-11-10,C1,101,RECAP,754573,M,Adult,yes,NA,125,47,12,A,R1.3
17-11-11,C1,101,RECAP,754573,M,Adult,NA,NA,125,47,12,A,R1.3
17-11-13,G6,101,RECAP,754573,M,Adult,NA,NA,125,47,12,A,R6.4
17-11-19,H2,101,RECAP,754573,M,Adult,no,NA,125,47,12,A,R7.3
17-11-17,C19,106,RECAP,55503,M,Juvenile,no,NA,113,42,9,A,R4.1
17-11-20,C19,106,RECAP,55503,M,Juvenile,no,NA,113,42,9,A,R32.1
17-11-20,I17,108,RECAP,651563,M,Adult,yes,NA,122,44,11,A,R13.1
17-11-19,H41,110,RECAP,50503,M,Adult,no,NA,125,48,11,A,R12.1
17-11-20,A66,111,RECAP,750573,M,Adult,yes,NA,119,45,9.5,A,R3.1
17-11-13,G6,116,new,350533,M,Juvenile,no,NA,120,43,9.5,A,R6.3
17-11-17,G4,116,RECAP,350533,M,Subadult,no,NA,120,43,10,A,R2.3
17-11-20,H2,116,RECAP,350533,M,Subadult,no,NA,120,43,10,A,R1.4
17-11-18,B22,117,RECAP,250523,M,Adult,no,NA,122,47,NA,A,R16.1
17-11-20,H15,118,RECAP,650563,M,Subadult,no,NA,112,43,10,A,R31.1
17-11-15,A2,121,new,54513,M,Juvenile,no,NA,113,42,10,A,R7.4
17-11-20,A65,125,RECAP,751573,M,Adult,no,NA,116,45,10,A,A65.1
17-11-18,G4,128,new,NA,M,Juvenile,no,NA,106,40,9,A,R2.1
17-11-18,H15,129,new,154503,M,Juvenile,no,NA,116,43,10,A,R31.1
17-11-19,D1,130,new,355523,M,Juvenile,no,NA,113,47,9,A,R9.2
17-11-19,D10,131,new,NA,M,Juvenile,no,NA,NA,NA,NA,A,R11.2
17-11-20,A9,132,new,948493,M,Adult,NA,NA,117,47,10,A,R7.1
17-11-03,G4,90,new,NA,F,Adult,NA,no,133,46,14,G,NA
17-11-03,D3,91,new,455543,F,Adult,NA,yes,134,48,20.5,G,NA
17-11-04,G3,91,RECAP,455543,F,Adult,NA,no,134,48,NA,G,NA
17-11-05,G4,91,RECAP,455543,F,Adult,NA,no,134,48,16.5,G,NA
17-11-06,A9,91,RECAP,455543,F,Adult,NA,no,134,48,11,G,NA
17-11-08,F1,91,RECAP,455543,F,Adult,NA,no,134,48,14,G,NA
17-11-09,F3,91,RECAP,455543,F,Adult,NA,no,134,48,14,G,NA
17-11-05,A9,94,RECAP,654563,F,Adult,NA,no,122,49,18,G,NA
17-11-04,H15,95,new,955493,F,Adult,NA,yes,130,48,21.5,G,NA
17-11-05,H15,95,RECAP,955493,F,Adult,NA,yes,130,48,21.5,G,NA
17-11-07,C19,95,RECAP,955493,F,Adult,NA,no,130,48,15,G,NA
17-11-09,C18,95,RECAP,955493,F,Adult,NA,no,130,48,16,G,NA
17-11-10,C17,95,RECAP,955493,F,Adult,NA,no,130,48,13.5,G,NA
17-11-11,C17,95,RECAP,955493,F,Adult,NA,no,130,48,12,G,NA
17-11-12,I17,95,RECAP,955493,F,Adult,NA,no,130,48,13,G,NA
17-11-13,C17,95,RECAP,955493,F,Adult,NA,no,130,48,12,G,NA
17-11-14,G16,95,RECAP,955493,F,Adult,NA,no,130,48,13,G,NA
17-11-15,G16,95,RECAP,955493,F,Adult,NA,no,130,48,12,G,NA
17-11-16,G20,95,RECAP,955493,F,Adult,NA,no,130,48,12,G,NA
17-11-06,C2,96,RECAP,155513,F,Adult,NA,yes,126,49,15,G,NA
17-11-06,C17,97,RECAP,853483,F,Adult,NA,no,123,47,11,G,NA
17-11-07,B21,97,RECAP,853483,F,Adult,NA,no,123,47,12,G,NA
17-11-08,B21,97,RECAP,853483,F,Adult,NA,no,123,47,13,G,NA
17-11-09,E25,97,RECAP,853483,F,Adult,NA,no,123,47,11,G,NA
17-11-10,B21,97,RECAP,853483,F,Adult,NA,no,123,47,12,G,NA
17-11-12,B22,97,RECAP,853483,F,Adult,NA,no,123,47,11,G,NA
17-11-13,B22,97,RECAP,853483,F,Adult,NA,no,123,47,12,G,NA
17-11-14,B21,97,RECAP,853483,F,Adult,NA,no,123,47,NA,G,NA
17-11-16,B21,97,RECAP,853483,F,Adult,NA,no,123,47,11,G,NA
17-11-06,I41,98,new,NA,F,Adult,NA,yes,132,49,16,G,NA
17-11-06,D1,100,new,954493,F,Juvenile,NA,no,109,43,8,G,NA
17-11-09,D1,102,new,655563,F,Juvenile,NA,no,106,43,9,G,NA
17-11-09,D2,103,new,555553,F,Juvenile,NA,no,103,43,8,G,NA
17-11-12,D57,105,RECAP,355533,F,Adult,NA,no,131,48,13,G,NA
17-11-14,H60,105,RECAP,355533,F,Adult,NA,no,131,48,15.5,G,NA
17-11-15,E61,105,RECAP,355533,F,Adult,NA,yes,131,48,16,G,NA
17-11-18,E61,105,RECAP,355533,F,Adult,NA,yes,131,48,17,G,NA
17-11-14,H16,107,RECAP,450543,F,Adult,NA,no,132,49,13,G,NA
17-11-15,H16,107,RECAP,450543,F,Adult,NA,no,132,49,14,G,NA
17-11-16,H17,107,RECAP,450543,F,Adult,NA,no,132,49,13.5,G,NA
17-11-12,E24,112,new,51503,F,Juvenile,NA,no,123,52,10.5,G,NA
17-11-13,F24,112,RECAP,51503,F,Juvenile,NA,no,123,52,NA,G,NA
17-11-15,H32,112,RECAP,51503,F,Juvenile,NA,no,123,52,10.5,G,NA
17-11-16,H31,112,RECAP,51503,F,Subadult,NA,no,123,52,11,G,NA
17-11-12,G16,115,new,550553,F,Adult,NA,no,124,46,12.5,G,NA
17-11-14,H32,115,RECAP,550553,F,Adult,NA,no,124,46,12,G,NA
17-11-15,A66,122,new,55513,F,Adult,NA,yes,130,48,16,G,NA
17-11-16,A66,122,RECAP,55513,F,Adult,NA,no,130,48,13.5,G,NA
17-11-15,H40,123,new,954483,F,Subadult,NA,no,124,50,11,G,NA
17-11-16,H41,123,RECAP,954483,F,Subadult,NA,no,124,50,10,G,NA
17-11-15,H70,124,new,555543,F,Juvenile,NA,no,125,47,10.5,G,NA
17-11-17,F70,124,RECAP,555543,F,Juvenile,NA,no,125,47,11,G,NA
17-11-18,F70,124,RECAP,555543,F,Subadult,NA,no,125,47,11,G,NA
17-11-17,H59,127,new,754563,F,Adult,NA,yes,127,46,19,G,NA
17-11-03,D9,92,new,154513,M,Adult,yes,NA,136,48,13.5,G,NA
17-11-04,G6,92,RECAP,154513,M,Adult,yes,NA,136,48,NA,G,NA
17-11-05,G6,92,RECAP,154513,M,Adult,yes,NA,136,48,13.5,G,NA
17-11-06,C10,92,RECAP,154513,M,Adult,yes,NA,136,48,11.5,G,NA
17-11-07,G6,92,RECAP,154513,M,Adult,yes,NA,136,48,13.5,G,NA
17-11-08,G7,92,RECAP,154513,M,Adult,yes,NA,136,48,13,G,NA
17-11-09,G3,92,RECAP,154513,M,Adult,yes,NA,136,48,13,G,NA
17-11-03,C4,93,new,554553,M,Adult,yes,NA,118,42,12.5,G,NA
17-11-05,C10,93,RECAP,554553,M,Adult,yes,NA,118,42,12,G,NA
17-11-08,C5,93,RECAP,554553,M,Adult,yes,NA,118,42,12,G,NA
17-11-06,H15,99,new,755573,M,Adult,NA,NA,125,49,12,G,NA
17-11-08,H15,99,RECAP,755573,M,Adult,yes,NA,125,49,12,G,NA
17-11-09,H15,99,RECAP,755573,M,Adult,yes,NA,125,49,11.5,G,NA
17-11-11,H17,99,RECAP,755573,M,Adult,yes,NA,125,49,12,G,NA
17-11-12,C17,99,RECAP,755573,M,Adult,yes,NA,125,49,12,G,NA
17-11-13,C18,99,RECAP,755573,M,Adult,yes,NA,125,49,12,G,NA
17-11-14,C17,99,RECAP,755573,M,Adult,NA,NA,125,49,12,G,NA
17-11-15,C17,99,RECAP,755573,M,Adult,no,NA,125,49,10.5,G,NA
17-11-16,H16,99,RECAP,755573,M,Adult,yes,NA,125,49,10,G,NA
17-11-08,G2,101,new,754573,M,Adult,yes,NA,125,47,14,G,NA
17-11-10,D57,104,new,454543,M,Adult,yes,NA,130,50,12.5,G,NA
17-11-11,D57,104,RECAP,454543,M,Adult,yes,NA,130,50,11.5,G,NA
17-11-16,B59,104,RECAP,454543,M,Adult,yes,NA,130,50,13,G,NA
17-11-17,H63,104,RECAP,454543,M,Adult,yes,NA,130,50,14,G,NA
17-11-18,C57,104,RECAP,454543,M,Adult,yes,NA,130,50,13,G,NA
