Date,Time,Temp,RH,HOBO
16-05-12,18:00,30.192,62.05,8
16-05-12,18:15,25.671,82.506,8
16-05-12,18:30,24.05,94.347,8
16-05-12,18:45,24.002,96.106,8
16-05-12,19:00,24.026,96.913,8
16-05-12,19:15,24.05,97.425,8
16-05-12,19:30,24.074,97.829,8
16-05-12,19:45,24.098,98.127,8
16-05-12,20:00,24.146,98.405,8
16-05-12,20:15,24.146,98.67,8
16-05-12,20:30,24.195,98.867,8
16-05-12,20:45,24.195,99.079,8
16-05-12,21:00,24.219,99.244,8
16-05-12,21:15,24.243,99.408,8
16-05-12,21:30,24.267,99.52,8
16-05-12,21:45,24.436,99.565,8
16-05-12,22:00,24.484,99.631,8
16-05-12,22:15,24.581,99.657,8
16-05-12,22:30,24.629,99.723,8
16-05-12,22:45,24.629,99.854,8
16-05-12,23:00,24.629,99.933,8
16-05-12,23:15,24.629,100,8
16-05-12,23:30,24.653,100,8
16-05-12,23:45,24.677,100,8
16-05-13,0:00,24.677,100,8
16-05-13,0:15,24.677,100,8
16-05-13,0:30,24.653,100,8
16-05-13,0:45,24.653,100,8
16-05-13,1:00,24.629,100,8
16-05-13,1:15,24.581,100,8
16-05-13,1:30,24.557,100,8
16-05-13,1:45,24.605,100,8
16-05-13,2:00,24.629,100,8
16-05-13,2:15,24.605,100,8
16-05-13,2:30,24.557,100,8
16-05-13,2:45,24.532,100,8
16-05-13,3:00,24.581,100,8
16-05-13,3:15,24.605,100,8
16-05-13,3:30,24.557,100,8
16-05-13,3:45,24.532,100,8
16-05-13,4:00,24.484,100,8
16-05-13,4:15,24.484,100,8
16-05-13,4:30,24.508,100,8
16-05-13,4:45,24.532,100,8
16-05-13,5:00,24.532,100,8
16-05-13,5:15,24.581,100,8
16-05-13,5:30,24.581,100,8
16-05-13,5:45,24.605,100,8
16-05-13,6:00,24.581,100,8
16-05-13,6:15,24.581,100,8
16-05-13,6:30,24.557,100,8
16-05-13,6:45,24.532,100,8
16-05-13,7:00,24.508,100,8
16-05-13,7:15,24.508,100,8
16-05-13,7:30,24.484,100,8
16-05-13,7:45,24.484,100,8
16-05-13,8:00,24.436,100,8
16-05-13,8:15,24.46,100,8
16-05-13,8:30,24.388,100,8
16-05-13,8:45,24.484,100,8
16-05-13,9:00,24.726,100,8
16-05-13,9:15,24.823,100,8
16-05-13,9:30,24.871,100,8
16-05-13,9:45,24.823,100,8
16-05-13,10:00,24.798,100,8
16-05-13,10:15,24.726,100,8
16-05-13,10:30,24.702,100,8
16-05-13,10:45,24.677,100,8
16-05-13,11:00,24.702,100,8
16-05-13,11:15,24.653,100,8
16-05-13,11:30,24.677,100,8
16-05-13,11:45,24.653,100,8
16-05-13,12:00,24.629,100,8
16-05-13,12:15,24.629,100,8
16-05-13,12:30,24.605,100,8
16-05-13,12:45,24.653,100,8
16-05-13,13:00,24.653,100,8
16-05-13,13:15,24.629,100,8
16-05-13,13:30,24.653,100,8
16-05-13,13:45,24.629,100,8
16-05-13,14:00,24.653,100,8
16-05-13,14:15,24.677,100,8
16-05-13,14:30,24.677,100,8
16-05-13,14:45,24.653,100,8
16-05-13,15:00,24.653,100,8
16-05-13,15:15,24.702,100,8
16-05-13,15:30,24.75,100,8
16-05-13,15:45,24.774,100,8
