Session,Start Date,Start Time,End Date,End Time,Burrow,Hill angle,Latitude,Longitude
1,11/2/2015,9:00 PM,11/4/2015,6:45 PM,10,26.5,30.398758,-86.682735
1,11/2/2015,9:00 PM,11/4/2015,6:45 PM,40,26.5,30.398758,-86.682735
1,11/2/2015,9:00 PM,11/4/2015,6:45 PM,60,27,30.398758,-86.682735
1,11/2/2015,9:00 PM,11/4/2015,6:45 PM,80,21,30.398758,-86.682735
2,11/4/2015,7:15 PM,11/6/2015,10:20 AM,10,31.5,30.398134,-86.682696
2,11/4/2015,7:15 PM,11/6/2015,10:20 AM,40,31,30.398134,-86.682696
2,11/4/2015,7:15 PM,11/6/2015,10:20 AM,60,31,30.398134,-86.682696
2,11/4/2015,7:15 PM,11/6/2015,10:20 AM,80,32,30.398134,-86.682696
3,11/6/2015,6:55 PM,11/8/2015,1:10 PM,10,15.5,30.395027,-86.714809
3,11/6/2015,6:55 PM,11/8/2015,1:10 PM,40,15,30.395027,-86.714809
3,11/6/2015,6:55 PM,11/8/2015,1:10 PM,60,19,30.395027,-86.714809
3,11/6/2015,6:55 PM,11/8/2015,1:10 PM,80,25,30.395027,-86.714809
4,11/8/2015,1:20 PM,11/10/2015,~6:30 PM?,10,23.5,30.395103,-86.716214
4,11/8/2015,1:20 PM,11/10/2015,~6:30 PM?,40,25.5,30.395103,-86.716214
4,11/8/2015,1:20 PM,11/10/2015,~6:30 PM?,60,26,30.395103,-86.716214
4,11/8/2015,1:20 PM,11/10/2015,~6:30 PM?,80,31,30.395103,-86.716214
5,11/10/2015,7:00 PM,11/12/2015,7:50 PM,10,17.5,30.393504,-86.744967
5,11/10/2015,7:00 PM,11/12/2015,7:50 PM,40,13.5,30.393504,-86.744967
5,11/10/2015,7:00 PM,11/12/2015,7:50 PM,60,15,30.393504,-86.744967
5,11/10/2015,7:00 PM,11/12/2015,7:50 PM,80,19.5,30.393504,-86.744967
6,11/12/2015,8:05 PM,11/15/2015,6:05 PM,10,24,30.393307,-86.74424
6,11/12/2015,8:05 PM,11/15/2015,6:05 PM,40,24,30.393307,-86.74424
6,11/12/2015,8:05 PM,11/15/2015,6:05 PM,60,24.5,30.393307,-86.74424
6,11/12/2015,8:05 PM,11/15/2015,6:05 PM,80,26,30.393307,-86.74424
7,11/15/2015,6:20 PM,11/17/2015,~8:00 AM,10,16,30.393332,-86.746075
7,11/15/2015,6:20 PM,11/17/2015,~8:00 AM,40,24,30.393332,-86.746075
7,11/15/2015,6:20 PM,11/17/2015,~8:00 AM,60,15.5,30.393332,-86.746075
7,11/15/2015,6:20 PM,11/17/2015,~8:00 AM,80,17,30.393332,-86.746075
