HOBO,Date Set,Time Set,Latitude,Longitude,Date Removed,Time Removed,Length,session
1,17-11-04,6:00 PM,30.39501,-86.71625,17-11-10,8:00 AM,61,s1
2,17-11-04,6:00 PM,30.395155,-86.715033,17-11-10,8:00 AM,18.5,s1
3,17-11-04,6:00 PM,30.395286,-86.715303,17-11-10,8:00 AM,35,s1
4,17-11-04,6:00 PM,30.39503,-86.71764,17-11-10,8:00 AM,28.5,s1
5,17-11-04,6:00 PM,30.395068,-86.717705,17-11-10,8:00 AM,52,s1
6,17-11-04,6:00 PM,30.394997,-86.718341,17-11-10,8:00 AM,17.5,s1
7,17-11-04,6:00 PM,30.395143,-86.719349,17-11-10,8:00 AM,ambient,s1
1,17-11-10,4:00 PM,30.394478,-86.720419,17-11-21,3:00 PM,39.5,s2
2,17-11-10,4:00 PM,30.394598,-86.720361,17-11-21,3:00 PM,15,s2
3,17-11-10,4:00 PM,30.394826,-86.720386,17-11-21,3:00 PM,18,s2
4,17-11-10,4:00 PM,30.395023,-86.720393,17-11-21,3:00 PM,43,s2
5,17-11-10,4:00 PM,30.395192,-86.720397,17-11-21,3:00 PM,47.5,s2
6,17-11-10,4:00 PM,30.395048,-86.720072,17-11-21,3:00 PM,33,s2
7,17-11-10,4:00 PM,30.394478,-86.720419,17-11-21,3:00 PM,ambient,s2
1,17-11-24,10:00 AM,30.39528,-86.714283,17-11-30,9:30 AM,74.5,s3
2,17-11-24,10:00 AM,30.395255,-86.714281,17-11-30,9:30 AM,27.5,s3
3,17-11-24,10:00 AM,30.3952,-86.714399,17-11-30,9:30 AM,20.5,s3
4,17-11-24,10:00 AM,30.395422,-86.714501,17-11-30,9:30 AM,24,s3
5,17-11-24,10:00 AM,30.395021,-86.714899,17-11-30,9:30 AM,19,s3
6,17-11-24,10:00 AM,30.395208,-86.715113,17-11-30,9:30 AM,24.5,s3
7,17-11-24,10:00 AM,30.395208,-86.715113,17-11-30,9:30 AM,ambient,s3
