Date_time,Temp,RH,HOBO,Date,Time
11/20/2017 6:45:00,2.717,86.392,7,17-11-20,6:45
11/20/2017 7:15:00,2.717,87.412,7,17-11-20,7:15
11/20/2017 7:30:00,2.85,87.826,7,17-11-20,7:30
11/20/2017 7:00:00,2.877,86.585,7,17-11-20,7:00
11/20/2017 6:30:00,2.903,86.156,7,17-11-20,6:30
11/20/2017 6:15:00,2.956,85.759,7,17-11-20,6:15
11/20/2017 7:45:00,3.142,88.001,7,17-11-20,7:45
11/20/2017 5:00:00,3.301,85.302,7,17-11-20,5:00
11/20/2017 5:45:00,3.354,84.566,7,17-11-20,5:45
11/20/2017 6:00:00,3.406,84.76,7,17-11-20,6:00
11/20/2017 4:45:00,3.512,84.888,7,17-11-20,4:45
11/20/2017 5:30:00,3.512,84.19,7,17-11-20,5:30
11/20/2017 4:15:00,3.617,84.577,7,17-11-20,4:15
11/20/2017 8:00:00,3.617,87.022,7,17-11-20,8:00
11/20/2017 4:30:00,3.643,84.739,7,17-11-20,4:30
11/20/2017 5:15:00,3.67,84.305,7,17-11-20,5:15
11/20/2017 4:00:00,3.749,84.116,7,17-11-20,4:00
11/20/2017 3:45:00,3.88,83.757,7,17-11-20,3:45
11/20/2017 3:30:00,4.089,83.129,7,17-11-20,3:30
11/20/2017 3:15:00,4.246,82.354,7,17-11-20,3:15
11/20/2017 2:30:00,4.402,82.311,7,17-11-20,2:30
11/20/2017 2:45:00,4.428,81.844,7,17-11-20,2:45
11/20/2017 3:00:00,4.506,81.915,7,17-11-20,3:00
11/20/2017 2:15:00,4.558,81.637,7,17-11-20,2:15
11/20/2017 8:15:00,4.662,84.202,7,17-11-20,8:15
11/20/2017 2:00:00,4.74,80.913,7,17-11-20,2:00
11/20/2017 1:45:00,5.179,80.003,7,17-11-20,1:45
11/20/2017 8:30:00,5.308,80.511,7,17-11-20,8:30
11/27/2017 7:15:00,5.308,74.535,7,17-11-27,7:15
11/19/2017 23:30:00,5.36,80.841,7,17-11-19,23:30
11/19/2017 23:45:00,5.385,81.218,7,17-11-19,23:45
11/20/2017 0:00:00,5.385,81.403,7,17-11-20,0:00
11/20/2017 1:30:00,5.385,79.569,7,17-11-20,1:30
11/27/2017 7:00:00,5.437,73.742,7,17-11-27,7:00
11/27/2017 7:30:00,5.437,73.714,7,17-11-27,7:30
11/20/2017 1:15:00,5.462,79.56,7,17-11-20,1:15
11/20/2017 1:00:00,5.514,80.104,7,17-11-20,1:00
11/27/2017 6:45:00,5.514,73.154,7,17-11-27,6:45
11/27/2017 21:45:00,5.539,82.837,7,17-11-27,21:45
11/19/2017 23:15:00,5.616,79.139,7,17-11-19,23:15
11/20/2017 0:45:00,5.616,80.181,7,17-11-20,0:45
11/20/2017 0:30:00,5.668,80.325,7,17-11-20,0:30
11/27/2017 21:30:00,5.693,81.499,7,17-11-27,21:30
11/27/2017 6:30:00,5.745,71.879,7,17-11-27,6:30
11/20/2017 0:15:00,5.77,80.721,7,17-11-20,0:15
11/20/2017 8:45:00,5.796,77.513,7,17-11-20,8:45
11/19/2017 23:00:00,5.949,77.95,7,17-11-19,23:00
11/28/2017 5:45:00,5.975,71.675,7,17-11-28,5:45
11/28/2017 5:00:00,6.051,70.72,7,17-11-28,5:00
11/28/2017 5:15:00,6.051,70.748,7,17-11-28,5:15
11/27/2017 23:00:00,6.102,77.309,7,17-11-27,23:00
11/27/2017 23:15:00,6.102,77.228,7,17-11-27,23:15
11/28/2017 5:30:00,6.179,70.634,7,17-11-28,5:30
11/27/2017 6:15:00,6.204,70.388,7,17-11-27,6:15
11/28/2017 6:00:00,6.23,70.755,7,17-11-28,6:00
11/19/2017 22:15:00,6.255,74.375,7,17-11-19,22:15
11/27/2017 23:45:00,6.255,77.612,7,17-11-27,23:45
11/28/2017 6:15:00,6.255,71.731,7,17-11-28,6:15
11/27/2017 6:00:00,6.306,70.073,7,17-11-27,6:00
11/27/2017 23:30:00,6.306,76.757,7,17-11-27,23:30
11/19/2017 22:45:00,6.331,76.409,7,17-11-19,22:45
11/28/2017 4:45:00,6.357,69.189,7,17-11-28,4:45
11/27/2017 22:45:00,6.408,75.99,7,17-11-27,22:45
11/28/2017 1:15:00,6.408,74.434,7,17-11-28,1:15
11/28/2017 6:30:00,6.408,73.83,7,17-11-28,6:30
11/25/2017 23:30:00,6.433,91.118,7,17-11-25,23:30
11/28/2017 7:00:00,6.458,79.861,7,17-11-28,7:00
11/19/2017 22:30:00,6.484,76.115,7,17-11-19,22:30
11/27/2017 20:30:00,6.484,90.521,7,17-11-27,20:30
11/27/2017 22:00:00,6.585,78.331,7,17-11-27,22:00
11/28/2017 6:45:00,6.611,77.038,7,17-11-28,6:45
11/20/2017 19:15:00,6.661,87.176,7,17-11-20,19:15
11/27/2017 5:45:00,6.661,68.095,7,17-11-27,5:45
11/28/2017 0:00:00,6.661,73.717,7,17-11-28,0:00
11/28/2017 0:15:00,6.661,73.277,7,17-11-28,0:15
11/28/2017 1:00:00,6.712,72.928,7,17-11-28,1:00
11/25/2017 23:15:00,6.737,90.024,7,17-11-25,23:15
11/20/2017 9:00:00,6.763,75.164,7,17-11-20,9:00
11/26/2017 0:00:00,6.813,93.465,7,17-11-26,0:00
11/27/2017 22:30:00,6.813,74.133,7,17-11-27,22:30
11/27/2017 3:45:00,6.864,68.612,7,17-11-27,3:45
11/27/2017 7:45:00,6.864,69.678,7,17-11-27,7:45
11/27/2017 20:15:00,6.864,92.344,7,17-11-27,20:15
11/28/2017 3:15:00,6.864,66.523,7,17-11-28,3:15
11/28/2017 7:15:00,6.864,83.46,7,17-11-28,7:15
11/26/2017 4:30:00,6.889,89.294,7,17-11-26,4:30
11/28/2017 0:30:00,6.889,71.968,7,17-11-28,0:30
11/27/2017 5:15:00,6.914,67.127,7,17-11-27,5:15
11/28/2017 4:30:00,6.94,66.99,7,17-11-28,4:30
11/26/2017 4:45:00,7.015,89.762,7,17-11-26,4:45
11/27/2017 4:15:00,7.015,67.343,7,17-11-27,4:15
11/27/2017 20:00:00,7.015,90.35,7,17-11-27,20:00
11/28/2017 2:45:00,7.015,67.598,7,17-11-28,2:45
11/28/2017 3:00:00,7.015,67.032,7,17-11-28,3:00
11/26/2017 0:15:00,7.041,93.651,7,17-11-26,0:15
11/27/2017 20:45:00,7.041,87.061,7,17-11-27,20:45
11/27/2017 21:15:00,7.041,79.211,7,17-11-27,21:15
11/28/2017 7:30:00,7.041,84.869,7,17-11-28,7:30
11/26/2017 4:15:00,7.066,88.618,7,17-11-26,4:15
11/27/2017 5:30:00,7.066,66.9,7,17-11-27,5:30
11/28/2017 0:45:00,7.066,71.308,7,17-11-28,0:45
11/27/2017 5:00:00,7.091,66.734,7,17-11-27,5:00
11/27/2017 21:00:00,7.091,81.418,7,17-11-27,21:00
11/25/2017 23:00:00,7.116,88.27,7,17-11-25,23:00
11/27/2017 4:45:00,7.116,66.824,7,17-11-27,4:45
11/21/2017 2:00:00,7.142,78.614,7,17-11-21,2:00
11/27/2017 3:30:00,7.142,67.508,7,17-11-27,3:30
11/27/2017 4:30:00,7.142,67.027,7,17-11-27,4:30
11/20/2017 19:00:00,7.167,85.266,7,17-11-20,19:00
11/27/2017 4:00:00,7.167,67.654,7,17-11-27,4:00
11/20/2017 19:45:00,7.192,90.778,7,17-11-20,19:45
11/27/2017 22:15:00,7.192,74.842,7,17-11-27,22:15
11/28/2017 2:30:00,7.192,67.828,7,17-11-28,2:30
11/20/2017 20:45:00,7.217,89.351,7,17-11-20,20:45
11/21/2017 1:00:00,7.217,79.546,7,17-11-21,1:00
11/25/2017 23:45:00,7.217,91.676,7,17-11-25,23:45
11/27/2017 3:15:00,7.217,67.381,7,17-11-27,3:15
11/28/2017 3:30:00,7.217,66.559,7,17-11-28,3:30
11/27/2017 2:45:00,7.242,67.442,7,17-11-27,2:45
11/28/2017 1:30:00,7.293,71.436,7,17-11-28,1:30
11/19/2017 22:00:00,7.318,72.08,7,17-11-19,22:00
11/20/2017 19:30:00,7.318,89.093,7,17-11-20,19:30
11/20/2017 20:30:00,7.318,89.633,7,17-11-20,20:30
11/26/2017 0:30:00,7.318,92.766,7,17-11-26,0:30
11/28/2017 2:15:00,7.343,68.392,7,17-11-28,2:15
11/27/2017 3:00:00,7.368,66.842,7,17-11-27,3:00
11/21/2017 0:45:00,7.393,78.695,7,17-11-21,0:45
11/26/2017 5:45:00,7.393,88.622,7,17-11-26,5:45
11/26/2017 6:00:00,7.393,87.873,7,17-11-26,6:00
