"","mouse1","mouse2","pair","OI","sex1","sex2","type","window"
"1","103","104","103.104",0,"F","M","MF",5400
"2","103","105","103.105",0,"F","F","FF",5400
"3","103","106","103.106",0,"F","M","MF",5400
"4","103","107","103.107",0,"F","F","FF",5400
"5","103","108","103.108",0,"F","M","MF",5400
"6","103","109","103.109",0.00134408602150538,"F","M","MF",5400
"7","103","110","103.110",0,"F","M","MF",5400
"8","103","111","103.111",0,"F","M","MF",5400
"9","103","112","103.112",0,"F","F","FF",5400
"10","103","113","103.113",0,"F","M","MF",5400
"11","103","114","103.114",0,"F","M","MF",5400
"12","103","115","103.115",0,"F","F","FF",5400
"13","103","116","103.116",0,"F","M","MF",5400
"14","103","118","103.118",0,"F","M","MF",5400
"15","103","119","103.119",0,"F","M","MF",5400
"16","103","120","103.120",0,"F","M","MF",5400
"17","103","121","103.121",0.00470430107526882,"F","M","MF",5400
"18","103","122","103.122",0,"F","F","FF",5400
"19","103","123","103.123",0,"F","F","FF",5400
"20","103","124","103.124",0,"F","F","FF",5400
"21","103","125","103.125",0,"F","M","MF",5400
"22","103","126","103.126",0,"F","M","MF",5400
"23","103","127","103.127",0,"F","F","FF",5400
"24","103","129","103.129",0,"F","M","MF",5400
"25","103","92","103.92",0.00134408602150538,"F","M","MF",5400
"26","103","93","103.93",0.0114247311827957,"F","M","MF",5400
"27","103","94","103.94",0.0168010752688172,"F","F","FF",5400
"28","103","95","103.95",0,"F","F","FF",5400
"29","103","96","103.96",0,"F","F","FF",5400
"30","103","97","103.97",0,"F","F","FF",5400
"31","103","uk2","103.uk2",0.0141129032258065,"F","U",NA,5400
"32","104","103","104.103",0,"M","F","MF",5400
"33","104","105","104.105",0.0216828134426346,"M","F","MF",5400
"34","104","106","104.106",0,"M","M","MM",5400
"35","104","107","104.107",0,"M","F","MF",5400
"36","104","108","104.108",0,"M","M","MM",5400
"37","104","109","104.109",0.000283899357677703,"M","M","MM",5400
"38","104","110","104.110",0,"M","M","MM",5400
"39","104","111","104.111",0.000390361616806842,"M","M","MM",5400
"40","104","112","104.112",0,"M","F","MF",5400
"41","104","113","104.113",0,"M","M","MM",5400
"42","104","114","104.114",0,"M","M","MM",5400
"43","104","115","104.115",0,"M","F","MF",5400
"44","104","116","104.116",0,"M","M","MM",5400
"45","104","118","104.118",0,"M","M","MM",5400
"46","104","119","104.119",3.54874197097129e-05,"M","M","MM",5400
"47","104","120","104.120",0,"M","M","MM",5400
"48","104","121","104.121",0,"M","M","MM",5400
"49","104","122","104.122",0,"M","F","MF",5400
"50","104","123","104.123",0,"M","F","MF",5400
"51","104","124","104.124",0,"M","F","MF",5400
"52","104","125","104.125",0,"M","M","MM",5400
"53","104","126","104.126",0,"M","M","MM",5400
"54","104","127","104.127",0,"M","F","MF",5400
"55","104","129","104.129",0,"M","M","MM",5400
"56","104","92","104.92",0,"M","M","MM",5400
"57","104","93","104.93",0,"M","M","MM",5400
"58","104","94","104.94",0,"M","F","MF",5400
"59","104","95","104.95",0,"M","F","MF",5400
"60","104","96","104.96",0,"M","F","MF",5400
"61","104","97","104.97",0,"M","F","MF",5400
"62","104","uk2","104.uk2",0,"M","U",NA,5400
"63","105","103","105.103",0,"F","F","FF",5400
"64","105","104","105.104",0.0177452794435651,"F","M","MF",5400
"65","105","106","105.106",0,"F","M","MF",5400
"66","105","107","105.107",0,"F","F","FF",5400
"67","105","108","105.108",0,"F","M","MF",5400
"68","105","109","105.109",0,"F","M","MF",5400
"69","105","110","105.110",0,"F","M","MF",5400
"70","105","111","105.111",0.000200637581648349,"F","M","MF",5400
"71","105","112","105.112",0,"F","F","FF",5400
"72","105","113","105.113",0,"F","M","MF",5400
"73","105","114","105.114",0,"F","M","MF",5400
"74","105","115","105.115",0,"F","F","FF",5400
"75","105","116","105.116",0,"F","M","MF",5400
"76","105","118","105.118",0,"F","M","MF",5400
"77","105","119","105.119",0.00015605145239316,"F","M","MF",5400
"78","105","120","105.120",0,"F","M","MF",5400
"79","105","121","105.121",0,"F","M","MF",5400
"80","105","122","105.122",0,"F","F","FF",5400
"81","105","123","105.123",0,"F","F","FF",5400
"82","105","124","105.124",0,"F","F","FF",5400
"83","105","125","105.125",0,"F","M","MF",5400
"84","105","126","105.126",0,"F","M","MF",5400
"85","105","127","105.127",0,"F","F","FF",5400
"86","105","129","105.129",0,"F","M","MF",5400
"87","105","92","105.92",0,"F","M","MF",5400
"88","105","93","105.93",0,"F","M","MF",5400
"89","105","94","105.94",0,"F","F","FF",5400
"90","105","95","105.95",0,"F","F","FF",5400
"91","105","96","105.96",0,"F","F","FF",5400
"92","105","97","105.97",0,"F","F","FF",5400
"93","105","uk2","105.uk2",0,"F","U",NA,5400
"94","106","103","106.103",0,"M","F","MF",5400
"95","106","104","106.104",0,"M","M","MM",5400
"96","106","105","106.105",0,"M","F","MF",5400
"97","106","107","106.107",0,"M","F","MF",5400
"98","106","108","106.108",0.00529738576166071,"M","M","MM",5400
"99","106","109","106.109",0.0010336362461777,"M","M","MM",5400
"100","106","110","106.110",0,"M","M","MM",5400
"101","106","111","106.111",0,"M","M","MM",5400
"102","106","112","106.112",0,"M","F","MF",5400
"103","106","113","106.113",0,"M","M","MM",5400
"104","106","114","106.114",0,"M","M","MM",5400
"105","106","115","106.115",0.000172272707696283,"M","F","MF",5400
"106","106","116","106.116",0,"M","M","MM",5400
"107","106","118","106.118",0.0114130668848788,"M","M","MM",5400
"108","106","119","106.119",0,"M","M","MM",5400
"109","106","120","106.120",0,"M","M","MM",5400
"110","106","121","106.121",0.000344545415392566,"M","M","MM",5400
"111","106","122","106.122",0,"M","F","MF",5400
"112","106","123","106.123",0,"M","F","MF",5400
"113","106","124","106.124",0,"M","F","MF",5400
"114","106","125","106.125",0,"M","M","MM",5400
"115","106","126","106.126",0,"M","M","MM",5400
"116","106","127","106.127",0,"M","F","MF",5400
"117","106","129","106.129",0.0153753391618933,"M","M","MM",5400
"118","106","92","106.92",0.000172272707696283,"M","M","MM",5400
"119","106","93","106.93",0,"M","M","MM",5400
"120","106","94","106.94",0,"M","F","MF",5400
"121","106","95","106.95",0.00986261251561221,"M","F","MF",5400
"122","106","96","106.96",0.000258409061544425,"M","F","MF",5400
"123","106","97","106.97",0.000258409061544425,"M","F","MF",5400
"124","106","uk2","106.uk2",0,"M","U",NA,5400
"125","107","103","107.103",0,"F","F","FF",5400
"126","107","104","107.104",0,"F","M","MF",5400
"127","107","105","107.105",0,"F","F","FF",5400
"128","107","106","107.106",0,"F","M","MF",5400
"129","107","108","107.108",0.0147849462365591,"F","M","MF",5400
"130","107","109","107.109",0,"F","M","MF",5400
"131","107","110","107.110",0,"F","M","MF",5400
"132","107","111","107.111",0,"F","M","MF",5400
"133","107","112","107.112",0,"F","F","FF",5400
"134","107","113","107.113",0,"F","M","MF",5400
"135","107","114","107.114",0,"F","M","MF",5400
"136","107","115","107.115",0,"F","F","FF",5400
"137","107","116","107.116",0,"F","M","MF",5400
"138","107","118","107.118",0,"F","M","MF",5400
"139","107","119","107.119",0,"F","M","MF",5400
"140","107","120","107.120",0,"F","M","MF",5400
"141","107","121","107.121",0.00268817204301075,"F","M","MF",5400
"142","107","122","107.122",0,"F","F","FF",5400
"143","107","123","107.123",0,"F","F","FF",5400
"144","107","124","107.124",0,"F","F","FF",5400
"145","107","125","107.125",0,"F","M","MF",5400
"146","107","126","107.126",0,"F","M","MF",5400
"147","107","127","107.127",0,"F","F","FF",5400
"148","107","129","107.129",0.00268817204301075,"F","M","MF",5400
"149","107","92","107.92",0.00268817204301075,"F","M","MF",5400
"150","107","93","107.93",0,"F","M","MF",5400
"151","107","94","107.94",0,"F","F","FF",5400
"152","107","95","107.95",0.00268817204301075,"F","F","FF",5400
"153","107","96","107.96",0,"F","F","FF",5400
"154","107","97","107.97",0.00537634408602151,"F","F","FF",5400
"155","107","uk2","107.uk2",0.00537634408602151,"F","U",NA,5400
"156","108","103","108.103",0,"M","F","MF",5400
"157","108","104","108.104",0,"M","M","MM",5400
"158","108","105","108.105",0,"M","F","MF",5400
"159","108","106","108.106",0.00340260866664443,"M","M","MM",5400
"160","108","107","108.107",0.00200153450979084,"M","F","MF",5400
"161","108","109","108.109",0.000266871267972112,"M","M","MM",5400
"162","108","110","108.110",0,"M","M","MM",5400
"163","108","111","108.111",0,"M","M","MM",5400
"164","108","112","108.112",0,"M","F","MF",5400
"165","108","113","108.113",0,"M","M","MM",5400
"166","108","114","108.114",0,"M","M","MM",5400
"167","108","115","108.115",6.6717816993028e-05,"M","F","MF",5400
"168","108","116","108.116",0,"M","M","MM",5400
"169","108","118","108.118",0.000633819261433766,"M","M","MM",5400
"170","108","119","108.119",0,"M","M","MM",5400
"171","108","120","108.120",0,"M","M","MM",5400
"172","108","121","108.121",0,"M","M","MM",5400
"173","108","122","108.122",0,"M","F","MF",5400
"174","108","123","108.123",0,"M","F","MF",5400
"175","108","124","108.124",0,"M","F","MF",5400
"176","108","125","108.125",0,"M","M","MM",5400
"177","108","126","108.126",0,"M","M","MM",5400
"178","108","127","108.127",0,"M","F","MF",5400
