"","mouse1","mouse2","pair","OI","sex1","sex2","type","window"
"1","103","104","103.104",0.00274964791093823,"F","M","MF",5400
"2","103","105","103.105",0.00107303333109785,"F","F","FF",5400
"3","103","106","103.106",0.00147542083025954,"F","M","MF",5400
"4","103","107","103.107",0.00328616457648716,"F","F","FF",5400
"5","103","108","103.108",0.00234726041177654,"F","M","MF",5400
"6","103","109","103.109",0.00214606666219569,"F","M","MF",5400
"7","103","110","103.110",0.00248138957816377,"F","M","MF",5400
"8","103","111","103.111",0.00181074374622762,"F","M","MF",5400
"9","103","112","103.112",0.00187780832942123,"F","F","FF",5400
"10","103","113","103.113",0.00221313124538931,"F","M","MF",5400
"11","103","114","103.114",0.00181074374622762,"F","M","MF",5400
"12","103","115","103.115",0.00254845416135739,"F","F","FF",5400
"13","103","116","103.116",0.00281671249413185,"F","M","MF",5400
"14","103","118","103.118",0.00248138957816377,"F","M","MF",5400
"15","103","119","103.119",0.00328616457648716,"F","M","MF",5400
"16","103","120","103.120",0.00274964791093823,"F","M","MF",5400
"17","103","121","103.121",0.00288377707732546,"F","M","MF",5400
"18","103","122","103.122",0.00248138957816377,"F","F","FF",5400
"19","103","123","103.123",0.00214606666219569,"F","F","FF",5400
"20","103","124","103.124",0.00295084166051908,"F","F","FF",5400
"21","103","125","103.125",0.00254845416135739,"F","M","MF",5400
"22","103","126","103.126",0.00254845416135739,"F","M","MF",5400
"23","103","127","103.127",0.00268258332774462,"F","F","FF",5400
"24","103","129","103.129",0.00207900207900208,"F","M","MF",5400
"25","103","92","103.92",0.00234726041177654,"F","M","MF",5400
"26","103","93","103.93",0.001743679163034,"F","M","MF",5400
"27","103","94","103.94",0.00228019582858293,"F","F","FF",5400
"28","103","95","103.95",0.0030179062437127,"F","F","FF",5400
"29","103","96","103.96",0.003487358326068,"F","F","FF",5400
"30","103","97","103.97",0.00228019582858293,"F","F","FF",5400
"31","103","uk2","103.uk2",0.00254845416135739,"F","U",NA,5400
"32","104","103","104.103",0.00254668930390492,"M","F","MF",5400
"33","104","105","104.105",0.002243512005821,"M","F","MF",5400
"34","104","106","104.106",0.00218287654620422,"M","M","MM",5400
"35","104","107","104.107",0.00266796022313849,"M","F","MF",5400
"36","104","108","104.108",0.00272859568275528,"M","M","MM",5400
"37","104","109","104.109",0.00157652195003638,"M","M","MM",5400
"38","104","110","104.110",0.0015158864904196,"M","M","MM",5400
"39","104","111","104.111",0.00272859568275528,"M","M","MM",5400
"40","104","112","104.112",0.00230414746543779,"M","F","MF",5400
"41","104","113","104.113",0.00254668930390492,"M","M","MM",5400
"42","104","114","104.114",0.00242541838467136,"M","M","MM",5400
"43","104","115","104.115",0.00278923114237206,"M","F","MF",5400
"44","104","116","104.116",0.00333495027892311,"M","M","MM",5400
"45","104","118","104.118",0.00206160562697065,"M","M","MM",5400
"46","104","119","104.119",0.00351685665777347,"M","M","MM",5400
"47","104","120","104.120",0.00242541838467136,"M","M","MM",5400
"48","104","121","104.121",0.00218287654620422,"M","M","MM",5400
"49","104","122","104.122",0.00248605384428814,"M","F","MF",5400
"50","104","123","104.123",0.00230414746543779,"M","F","MF",5400
"51","104","124","104.124",0.00272859568275528,"M","F","MF",5400
"52","104","125","104.125",0.00345622119815668,"M","M","MM",5400
"53","104","126","104.126",0.00260732476352171,"M","M","MM",5400
"54","104","127","104.127",0.00297113752122241,"M","F","MF",5400
"55","104","129","104.129",0.00248605384428814,"M","M","MM",5400
"56","104","92","104.92",0.002243512005821,"M","M","MM",5400
"57","104","93","104.93",0.00242541838467136,"M","M","MM",5400
"58","104","94","104.94",0.00181906378850352,"M","F","MF",5400
"59","104","95","104.95",0.00309240844045598,"M","F","MF",5400
"60","104","96","104.96",0.00309240844045598,"M","F","MF",5400
"61","104","97","104.97",0.00230414746543779,"M","F","MF",5400
"62","104","uk2","104.uk2",0.00218287654620422,"M","U",NA,5400
"63","105","103","105.103",0.0012147388311513,"F","F","FF",5400
"64","105","104","105.104",0.00263193413416116,"F","M","MF",5400
"65","105","106","105.106",0.00188959373734647,"F","M","MF",5400
"66","105","107","105.107",0.00296936158725874,"F","F","FF",5400
"67","105","108","105.108",0.00229450668106357,"F","M","MF",5400
"68","105","109","105.109",0.0020245647185855,"F","M","MF",5400
"69","105","110","105.110",0.00188959373734647,"F","M","MF",5400
"70","105","111","105.111",0.00263193413416116,"F","M","MF",5400
"71","105","112","105.112",0.00283439060601971,"F","F","FF",5400
"72","105","113","105.113",0.00182210824672695,"F","M","MF",5400
"73","105","114","105.114",0.00242947766230261,"F","M","MF",5400
"74","105","115","105.115",0.00242947766230261,"F","F","FF",5400
"75","105","116","105.116",0.00303684707787826,"F","M","MF",5400
"76","105","118","105.118",0.00209205020920502,"F","M","MF",5400
"77","105","119","105.119",0.00256444864354164,"F","M","MF",5400
"78","105","120","105.120",0.00344176002159536,"F","M","MF",5400
"79","105","121","105.121",0.00209205020920502,"F","M","MF",5400
"80","105","122","105.122",0.00215953569982454,"F","F","FF",5400
"81","105","123","105.123",0.00249696315292212,"F","F","FF",5400
"82","105","124","105.124",0.00188959373734647,"F","F","FF",5400
"83","105","125","105.125",0.00303684707787826,"F","M","MF",5400
"84","105","126","105.126",0.00269941962478067,"F","M","MF",5400
"85","105","127","105.127",0.0020245647185855,"F","F","FF",5400
"86","105","129","105.129",0.00215953569982454,"F","M","MF",5400
"87","105","92","105.92",0.00249696315292212,"F","M","MF",5400
"88","105","93","105.93",0.00209205020920502,"F","M","MF",5400
"89","105","94","105.94",0.00229450668106357,"F","F","FF",5400
"90","105","95","105.95",0.00290187609663922,"F","F","FF",5400
"91","105","96","105.96",0.00337427453097584,"F","F","FF",5400
"92","105","97","105.97",0.00168713726548792,"F","F","FF",5400
"93","105","uk2","105.uk2",0.00209205020920502,"F","U",NA,5400
"94","106","103","106.103",0.00171347686806228,"M","F","MF",5400
"95","106","104","106.104",0.00275646278775237,"M","M","MM",5400
"96","106","105","106.105",0.0023094688221709,"M","F","MF",5400
"97","106","107","106.107",0.00320345675333383,"M","F","MF",5400
"98","106","108","106.108",0.00208597183938017,"M","M","MM",5400
"99","106","109","106.109",0.00216047083364375,"M","M","MM",5400
"100","106","110","106.110",0.00253296580496163,"M","M","MM",5400
"101","106","111","106.111",0.00156447887953513,"M","M","MM",5400
"102","106","112","106.112",0.00156447887953513,"M","F","MF",5400
"103","106","113","106.113",0.00283096178201594,"M","M","MM",5400
"104","106","114","106.114",0.00245846681069806,"M","M","MM",5400
"105","106","115","106.115",0.00216047083364375,"M","F","MF",5400
"106","106","116","106.116",0.00216047083364375,"M","M","MM",5400
"107","106","118","106.118",0.00223496982790732,"M","M","MM",5400
"108","106","119","106.119",0.00148997988527155,"M","M","MM",5400
"109","106","120","106.120",0.00290546077627952,"M","M","MM",5400
"110","106","121","106.121",0.00305445876480667,"M","M","MM",5400
"111","106","122","106.122",0.00178797586232586,"M","F","MF",5400
"112","106","123","106.123",0.00178797586232586,"M","F","MF",5400
"113","106","124","106.124",0.0023094688221709,"M","F","MF",5400
"114","106","125","106.125",0.00350145273038814,"M","M","MM",5400
"115","106","126","106.126",0.00186247485658944,"M","M","MM",5400
"116","106","127","106.127",0.00193697385085301,"M","F","MF",5400
"117","106","129","106.129",0.00193697385085301,"M","M","MM",5400
"118","106","92","106.92",0.00320345675333383,"M","M","MM",5400
"119","106","93","106.93",0.00275646278775237,"M","M","MM",5400
"120","106","94","106.94",0.00193697385085301,"M","F","MF",5400
"121","106","95","106.95",0.000819488936899352,"M","F","MF",5400
"122","106","96","106.96",0.00320345675333383,"M","F","MF",5400
"123","106","97","106.97",0.00245846681069806,"M","F","MF",5400
"124","106","uk2","106.uk2",0.00357595172465172,"M","U",NA,5400
"125","107","103","107.103",0.00308783916956836,"F","F","FF",5400
"126","107","104","107.104",0.00275934564089087,"F","M","MF",5400
"127","107","105","107.105",0.00289074305236187,"F","F","FF",5400
"128","107","106","107.106",0.00249655081794889,"F","M","MF",5400
"129","107","108","107.108",0.00177386505485842,"F","M","MF",5400
"130","107","109","107.109",0.0022994547007424,"F","M","MF",5400
"131","107","110","107.110",0.00289074305236187,"F","M","MF",5400
"132","107","111","107.111",0.00203665987780041,"F","M","MF",5400
"133","107","112","107.112",0.00295644175809737,"F","F","FF",5400
"134","107","113","107.113",0.00341633269824584,"F","M","MF",5400
"135","107","114","107.114",0.00197096117206491,"F","M","MF",5400
"136","107","115","107.115",0.00282504434662637,"F","F","FF",5400
"137","107","116","107.116",0.00289074305236187,"F","M","MF",5400
"138","107","118","107.118",0.0022994547007424,"F","M","MF",5400
"139","107","119","107.119",0.00197096117206491,"F","M","MF",5400
"140","107","120","107.120",0.0021680572892714,"F","M","MF",5400
"141","107","121","107.121",0.00262794822941988,"F","M","MF",5400
"142","107","122","107.122",0.00249655081794889,"F","F","FF",5400
"143","107","123","107.123",0.00321923658103935,"F","F","FF",5400
"144","107","124","107.124",0.00302214046383286,"F","F","FF",5400
"145","107","125","107.125",0.00190526246632941,"F","M","MF",5400
"146","107","126","107.126",0.00315353787530386,"F","M","MF",5400
"147","107","127","107.127",0.0021680572892714,"F","F","FF",5400
"148","107","129","107.129",0.00256224952368438,"F","M","MF",5400
"149","107","92","107.92",0.00282504434662637,"F","M","MF",5400
"150","107","93","107.93",0.00341633269824584,"F","M","MF",5400
"151","107","94","107.94",0.00275934564089087,"F","F","FF",5400
"152","107","95","107.95",0.00341633269824584,"F","F","FF",5400
"153","107","96","107.96",0.00295644175809737,"F","F","FF",5400
"154","107","97","107.97",0.00262794822941988,"F","F","FF",5400
"155","107","uk2","107.uk2",0.00302214046383286,"F","U",NA,5400
"156","108","103","108.103",0.00271196117613474,"M","F","MF",5400
"157","108","104","108.104",0.00306879817299458,"M","M","MM",5400
"158","108","105","108.105",0.00221238938053097,"M","F","MF",5400
"159","108","106","108.106",0.00206965458178704,"M","M","MM",5400
"160","108","107","108.107",0.00185555238367114,"M","F","MF",5400
"161","108","109","108.109",0.00249785897801884,"M","M","MM",5400
"162","108","110","108.110",0.00221238938053097,"M","M","MM",5400
"163","108","111","108.111",0.00264059377676277,"M","M","MM",5400
"164","108","112","108.112",0.00264059377676277,"M","F","MF",5400
"165","108","113","108.113",0.00206965458178704,"M","M","MM",5400
"166","108","114","108.114",0.00228375677990294,"M","M","MM",5400
"167","108","115","108.115",0.00235512417927491,"M","F","MF",5400
"168","108","116","108.116",0.00292606337425064,"M","M","MM",5400
"169","108","118","108.118",0.00214102198115901,"M","M","MM",5400
"170","108","119","108.119",0.00392520696545818,"M","M","MM",5400
"171","108","120","108.120",0.00292606337425064,"M","M","MM",5400
"172","108","121","108.121",0.00228375677990294,"M","M","MM",5400
"173","108","122","108.122",0.00235512417927491,"M","F","MF",5400
"174","108","123","108.123",0.00249785897801884,"M","F","MF",5400
"175","108","124","108.124",0.00256922637739081,"M","F","MF",5400
"176","108","125","108.125",0.0014987153868113,"M","M","MM",5400
"177","108","126","108.126",0.00242649157864687,"M","M","MM",5400
"178","108","127","108.127",0.00228375677990294,"M","F","MF",5400
"179","108","129","108.129",0.00228375677990294,"M","M","MM",5400
"180","108","92","108.92",0.00221238938053097,"M","M","MM",5400
"181","108","93","108.93",0.00335426777048244,"M","M","MM",5400
"182","108","94","108.94",0.00242649157864687,"M","F","MF",5400
"183","108","95","108.95",0.00264059377676277,"M","F","MF",5400
"184","108","96","108.96",0.00363973736797031,"M","F","MF",5400
"185","108","97","108.97",0.00221238938053097,"M","F","MF",5400
"186","108","uk2","108.uk2",0.00292606337425064,"M","U",NA,5400
"187","109","103","109.103",0.00275781380578305,"M","F","MF",5400
"188","109","104","109.104",0.00217282299849574,"M","M","MM",5400
"189","109","105","109.105",0.00242353334447602,"M","F","MF",5400
"190","109","106","109.106",0.00250710345980277,"M","M","MM",5400
"191","109","107","109.107",0.00275781380578305,"M","F","MF",5400
"192","109","108","109.108",0.00284138392110981,"M","M","MM",5400
"193","109","110","109.110",0.00116998161457463,"M","M","MM",5400
"194","109","111","109.111",0.0018385425371887,"M","M","MM",5400
"195","109","112","109.112",0.00200568276784222,"M","F","MF",5400
"196","109","113","109.113",0.00250710345980277,"M","M","MM",5400
"197","109","114","109.114",0.00192211265251546,"M","M","MM",5400
"198","109","115","109.115",0.00292495403643657,"M","F","MF",5400
"199","109","116","109.116",0.0022563931138225,"M","M","MM",5400
"200","109","118","109.118",0.0022563931138225,"M","M","MM",5400
"201","109","119","109.119",0.00233996322914926,"M","M","MM",5400
"202","109","120","109.120",0.00116998161457463,"M","M","MM",5400
"203","109","121","109.121",0.0022563931138225,"M","M","MM",5400
"204","109","122","109.122",0.00292495403643657,"M","F","MF",5400
"205","109","123","109.123",0.00175497242186194,"M","F","MF",5400
"206","109","124","109.124",0.00200568276784222,"M","F","MF",5400
"207","109","125","109.125",0.0022563931138225,"M","M","MM",5400
"208","109","126","109.126",0.00325923449774361,"M","M","MM",5400
"209","109","127","109.127",0.00292495403643657,"M","F","MF",5400
"210","109","129","109.129",0.00242353334447602,"M","M","MM",5400
"211","109","92","109.92",0.0022563931138225,"M","M","MM",5400
"212","109","93","109.93",0.0022563931138225,"M","M","MM",5400
"213","109","94","109.94",0.00200568276784222,"M","F","MF",5400
"214","109","95","109.95",0.00200568276784222,"M","F","MF",5400
"215","109","96","109.96",0.00233996322914926,"M","F","MF",5400
"216","109","97","109.97",0.00217282299849574,"M","F","MF",5400
"217","109","uk2","109.uk2",0.00175497242186194,"M","U",NA,5400
"218","110","103","110.103",0.00293255131964809,"M","F","MF",5400
"219","110","104","110.104",0.00195503421309873,"M","M","MM",5400
"220","110","105","110.105",0.00233100233100233,"M","F","MF",5400
"221","110","106","110.106",0.00240619595458305,"M","M","MM",5400
"222","110","107","110.107",0.0036844875554553,"M","F","MF",5400
"223","110","108","110.108",0.00233100233100233,"M","M","MM",5400
"224","110","109","110.109",0.00105271073013008,"M","M","MM",5400
"225","110","111","110.111",0.00225580870742161,"M","M","MM",5400
"226","110","112","110.112",0.00165425971877585,"M","F","MF",5400
"227","110","113","110.113",0.00240619595458305,"M","M","MM",5400
"228","110","114","110.114",0.00180464696593729,"M","M","MM",5400
"229","110","115","110.115",0.00270697044890593,"M","F","MF",5400
"230","110","116","110.116",0.00285735769606737,"M","M","MM",5400
"231","110","118","110.118",0.00248138957816377,"M","M","MM",5400
"232","110","119","110.119",0.00233100233100233,"M","M","MM",5400
"233","110","120","110.120",0.00293255131964809,"M","M","MM",5400
"234","110","121","110.121",0.00285735769606737,"M","M","MM",5400
"235","110","122","110.122",0.00203022783667945,"M","F","MF",5400
"236","110","123","110.123",0.00315813219039025,"M","F","MF",5400
"237","110","124","110.124",0.00210542146026017,"M","F","MF",5400
"238","110","125","110.125",0.00157906609519513,"M","M","MM",5400
"239","110","126","110.126",0.00172945334235657,"M","M","MM",5400
"240","110","127","110.127",0.00165425971877585,"M","F","MF",5400
"241","110","129","110.129",0.00187984058951801,"M","M","MM",5400
"242","110","92","110.92",0.00187984058951801,"M","M","MM",5400
"243","110","93","110.93",0.0033085194375517,"M","M","MM",5400
"244","110","94","110.94",0.00263177682532521,"M","F","MF",5400
"245","110","95","110.95",0.00263177682532521,"M","F","MF",5400
"246","110","96","110.96",0.00255658320174449,"M","F","MF",5400
"247","110","97","110.97",0.00240619595458305,"M","F","MF",5400
"248","110","uk2","110.uk2",0.00233100233100233,"M","U",NA,5400
"249","111","103","111.103",0.0018473781440955,"M","F","MF",5400
"250","111","104","111.104",0.00326843825493818,"M","M","MM",5400
"251","111","105","111.105",0.00270001421060111,"M","F","MF",5400
"252","111","106","111.106",0.00135000710530055,"M","M","MM",5400
"253","111","107","111.107",0.0022736961773483,"M","F","MF",5400
"254","111","108","111.108",0.00248685519397471,"M","M","MM",5400
"255","111","109","111.109",0.00156316612192696,"M","M","MM",5400
"256","111","110","111.110",0.0018473781440955,"M","M","MM",5400
"257","111","112","111.112",0.00170527213301123,"M","F","MF",5400
"258","111","113","111.113",0.00277106721614324,"M","M","MM",5400
"259","111","114","111.114",0.00220264317180617,"M","M","MM",5400
"260","111","115","111.115",0.00248685519397471,"M","F","MF",5400
"261","111","116","111.116",0.0020605371607219,"M","M","MM",5400
"262","111","118","111.118",0.00333949126048032,"M","M","MM",5400
"263","111","119","111.119",0.00198948415517976,"M","M","MM",5400
"264","111","120","111.120",0.00241580218843257,"M","M","MM",5400
"265","111","121","111.121",0.00341054426602245,"M","M","MM",5400
"266","111","122","111.122",0.00142106011084269,"M","F","MF",5400
"267","111","123","111.123",0.00262896120505897,"M","F","MF",5400
"268","111","124","111.124",0.00198948415517976,"M","F","MF",5400
"269","111","125","111.125",0.00333949126048032,"M","M","MM",5400
"270","111","126","111.126",0.00277106721614324,"M","M","MM",5400
"271","111","127","111.127",0.00270001421060111,"M","F","MF",5400
"272","111","129","111.129",0.00198948415517976,"M","M","MM",5400
"273","111","92","111.92",0.0020605371607219,"M","M","MM",5400
"274","111","93","111.93",0.00248685519397471,"M","M","MM",5400
"275","111","94","111.94",0.00241580218843257,"M","F","MF",5400
"276","111","95","111.95",0.00198948415517976,"M","F","MF",5400
"277","111","96","111.96",0.00312633224385391,"M","F","MF",5400
"278","111","97","111.97",0.00270001421060111,"M","F","MF",5400
"279","111","uk2","111.uk2",0.00156316612192696,"M","U",NA,5400
"280","112","103","112.103",0.00205149971703452,"F","F","FF",5400
"281","112","104","112.104",0.00261743067345784,"F","M","MF",5400
"282","112","105","112.105",0.00297113752122241,"F","F","FF",5400
"283","112","106","112.106",0.00155631013016412,"F","M","MF",5400
"284","112","107","112.107",0.00332484436898698,"F","F","FF",5400
"285","112","108","112.108",0.00233446519524618,"F","M","MF",5400
"286","112","109","112.109",0.00176853423882286,"F","M","MF",5400
"287","112","110","112.110",0.00148556876061121,"F","M","MF",5400
"288","112","111","112.111",0.00176853423882286,"F","M","MF",5400
"289","112","113","112.113",0.00247594793435201,"F","M","MF",5400
"290","112","114","112.114",0.00191001697792869,"F","M","MF",5400
"291","112","115","112.115",0.00268817204301075,"F","F","FF",5400
"292","112","116","112.116",0.00247594793435201,"F","M","MF",5400
"293","112","118","112.118",0.00198075834748161,"F","M","MF",5400
"294","112","119","112.119",0.00297113752122241,"F","M","MF",5400
"295","112","120","112.120",0.00226372382569327,"F","M","MF",5400
"296","112","121","112.121",0.00346632710809281,"F","M","MF",5400
"297","112","122","112.122",0.00134408602150538,"F","F","FF",5400
