Mouse_ID	RFID	Sex	Age
91	25048495349484953525455543	F	Adult
92	25048495349484953535154513	M	Adult
93	25048495349484953535554553	M	Adult
94	25048495349484953535654563	F	Adult
95	25048495349484953524955493	F	Adult
96	25048495349484953525155513	F	Adult
97	25048495349484953544853483	F	Adult
99	25048495349484953525755573	M	Adult
100	25048495349484953534954493	F	Juvenile
101	25048495349484953535754573	M	Adult
102	25048495349484953525655563	F	Juvenile
103	25048495349484953525555553	F	Juvenile
104	25048495349484953535454543	M	Adult
105	25048495349484953525355533	F	Adult
106	25048495349484953525055503	M	Juvenile
107	25048495349484953495450543	F	Adult
108	25048495349484953485651563	M	Adult
109	25048495349484953485151513	M	Juvenile
110	25048495349484953495050503	M	Adult
111	25048495349484953495750573	M	Adult
112	25048495349484953485051503	F	Juvenile
113	25048495349484953485551553	M	Juvenile
114	25048495349484953504849483	M	Adult
115	25048495349484953495550553	F	Adult
116	25048495349484953495350533	M	Juvenile
117	25048495349484953495250523	M	Juvenile
118	25048495349484953495650563	M	Juvenile
119	25048495349484953485351533	M	Adult
120	25048495349484952525755563	M	Adult
121	25048495349484952535054513	M	Juvenile
122	25048495349484952525055513	F	Adult
123	25048495349484952534954483	F	Subadult
124	25048495349484952525555543	F	Juvenile
125	25048495349484953485751573	M	Juvenile
126	25048495349484952525255533	M	Adult
127	25048495349484952535754563	F	Adult
129	25048495349484952535154503	M	Juvenile
130	25048495349484952525355523	M	Juvenile
st4	25048495349484953514948493	S	Tree
uk1	25748485470484848484854543	U	Unknown
uk2	25048495349484952525655573	U	Unknown
uk3	27053485165514851655170533	U	Unknown
uk4	25348516551485165674865483	U	Unknown
st1	24848484848515352655770693	S	Nicole
st2	24848484848514954685467513	S	Jake
st3	24848484848515356705565673	S	Nina
