INDV1,INDV2,N_AaAa,N_AAaa,N1_Aa,N2_Aa,RELATEDNESS_PHI
S0001,S0001,34,0,34,34,0.5
S0001,S0002,32,0,34,70,0.307692
S0001,S0004,9,7,34,31,-0.0769231
S0001,S0005,18,4,34,44,0.128205
S0001,S0006,21,2,34,43,0.220779
S0001,S0007,11,5,34,30,0.015625
S0001,S0008,17,4,34,38,0.125
S0001,S0009,9,5,34,28,-0.016129
S0001,S0015,27,5,34,56,0.188889
S0001,S0016,14,6,34,40,0.027027
S0001,S0017,16,4,34,40,0.108108
S0001,S0018,25,3,34,57,0.208791
S0001,S0019,20,4,34,38,0.166667
S0001,S0020,17,4,34,38,0.125
S0001,S0021,15,6,34,33,0.0447761
S0001,S0025,17,6,34,44,0.0641026
S0001,S0026,8,4,34,33,0
S0001,S0027,19,10,34,37,-0.0140845
S0001,S0028,17,5,34,40,0.0945946
S0001,S0029,14,3,34,32,0.121212
S0001,S0030,14,9,34,31,-0.0615385
S0001,S0031,14,6,34,34,0.0294118
S0001,S0032,17,4,34,43,0.116883
S0001,S0033,17,8,34,38,0.0138889
S0001,S0037,22,3,34,45,0.202532
S0001,S0038,12,3,34,32,0.0909091
S0001,S0039,14,10,34,34,-0.0882353
S0001,S0040,17,7,34,36,0.0428571
S0001,S0041,20,5,34,45,0.126582
S0001,S0042,16,9,34,40,-0.027027
S0001,S0043,20,3,34,51,0.164706
S0001,S0044,13,3,34,33,0.104478
S0001,S0045,8,9,34,38,-0.138889
S0001,S0051,11,9,34,24,-0.12069
S0001,S0052,16,10,34,36,-0.0571429
S0001,S0053,10,8,34,27,-0.0983607
S0001,S0054,19,2,34,50,0.178571
S0001,S0055,18,2,34,35,0.202899
S0001,S0056,15,12,34,28,-0.145161
S0001,S0057,12,9,34,33,-0.0895522
S0001,S0062,19,6,34,38,0.0972222
S0001,S0063,12,3,34,38,0.0833333
S0001,S0065,11,3,34,36,0.0714286
S0001,S0066,23,8,34,44,0.0897436
S0001,S0068,19,9,34,44,0.0128205
S0001,S0069,14,6,34,36,0.0285714
S0001,S0073,15,3,34,38,0.125
S0001,S0074,8,11,34,29,-0.222222
S0001,S0075,18,3,34,40,0.162162
S0001,S0076,9,7,34,31,-0.0769231
S0001,S0077,10,7,34,26,-0.0666667
S0001,S0078,21,7,34,45,0.0886076
S0001,S0079,18,8,34,38,0.0277778
