"","Burrow","X","Y","Mouse_ID","Sex","pingSum","burRank","pingTot","activityPortion","totPings","totNights","totMice","portion","scale"
"1","A2c",678,-9.4,"103","F",9,1,24,0.375,275,7,6,0.0327272727272727,8.10852445677817
"2","D9b",621.6,29,"103","F",7,2,24,0.291666666666667,155,7,9,0.0451612903225806,7.28540221886225
"3","A2a",676.8,-11.5,"103","F",6,3,24,0.25,74,6,6,0.0810810810810811,6.22881869049588
"4","F16",549.2,49.8,"103","F",2,4,24,0.0833333333333333,300,11,9,0.00666666666666667,8.2336196767597
"5","F62",83,45.1,"105","F",477,1,725,0.657931034482759,801,11,3,0.595505617977528,9.64745842645492
"6","D57",128.7,28.4,"105","F",224,2,725,0.308965517241379,298,11,4,0.751677852348993,8.2240016741981
"7","B59a",112.5,6.4,"105","F",14,3,725,0.0193103448275862,66,5,3,0.212121212121212,6.06608919045777
"8","G60",99.3,62.4,"105","F",8,4,725,0.0110344827586207,17,6,2,0.470588235294118,4.16992500144231
"9","B59b",116.1,7.8,"105","F",2,5,725,0.00275862068965517,8,2,4,0.25,3.16992500144231
"10","F16",549.2,49.8,"107","F",6,1,12,0.5,300,11,9,0.02,8.2336196767597
"11","B22",483.4,10.7,"107","F",2,2,12,0.166666666666667,382,11,7,0.00523560209424084,8.58120058192496
"12","D9b",621.6,29,"107","F",2,3,12,0.166666666666667,155,7,9,0.0129032258064516,7.28540221886225
"13","E16",540,44,"107","F",2,4,12,0.166666666666667,23,6,7,0.0869565217391304,4.58496250072116
"14","I31",386.7,81,"112","F",109,1,110,0.990909090909091,109,2,1,1,6.78135971352466
"15","H31a",385.4,68.6,"112","F",1,2,110,0.00909090909090909,3,2,2,0.333333333333333,2
"16","C19",512.4,19.4,"115","F",3,1,5,0.6,213,11,10,0.0140845070422535,7.74146698640115
"17","D9b",621.6,29,"115","F",2,2,5,0.4,155,7,9,0.0129032258064516,7.28540221886225
"18","C68",18.5,16,"122","F",1,1,1,1,91,11,4,0.010989010989011,6.52356195605701
"19","H41b",289.6,73,"123","F",2,1,2,1,4,3,2,0.5,2.32192809488736
"20","E70b",-5,40.5,"124","F",213,1,355,0.6,1179,11,2,0.180661577608142,10.2045711442492
"21","C68",18.5,16,"124","F",54,2,355,0.152112676056338,91,11,4,0.593406593406593,6.52356195605701
"22","E70a",0.3,42.8,"124","F",53,3,355,0.149295774647887,87,9,3,0.609195402298851,6.4594316186373
"23","A67",32.4,1.6,"124","F",11,4,355,0.0309859154929577,33,8,3,0.333333333333333,5.08746284125034
"24","A66a",40.8,-3,"124","F",10,5,355,0.028169014084507,29,7,3,0.344827586206897,4.90689059560852
"25","F70b",1.3,50,"124","F",9,6,355,0.0253521126760563,14,2,2,0.642857142857143,3.90689059560852
"26","F70a",1.3,50,"124","F",4,7,355,0.0112676056338028,24,6,2,0.166666666666667,4.64385618977472
"27","E69",3.4,42.3,"124","F",1,8,355,0.0028169014084507,1,1,1,1,1
"28","H58a",117.5,67.3,"127","F",3,1,4,0.75,7,4,3,0.428571428571429,3
"29","H58b",119.4,68.2,"127","F",1,2,4,0.25,6,2,2,0.166666666666667,2.8073549220576
"30","A2c",678,-9.4,"94","F",219,1,266,0.823308270676692,275,7,6,0.796363636363636,8.10852445677817
"31","A2a",676.8,-11.5,"94","F",28,2,266,0.105263157894737,74,6,6,0.378378378378378,6.22881869049588
"32","D9b",621.6,29,"94","F",13,3,266,0.0488721804511278,155,7,9,0.0838709677419355,7.28540221886225
"33","A2b",677.3,-12.3,"94","F",4,4,266,0.0150375939849624,12,3,4,0.333333333333333,3.70043971814109
"34","B22",483.4,10.7,"94","F",2,5,266,0.0075187969924812,382,11,7,0.00523560209424084,8.58120058192496
"35","H15a",544.7,66.5,"95","F",353,1,593,0.595278246205734,629,10,5,0.56120826709062,9.29920801838728
"36","H15c",545.5,71.2,"95","F",57,2,593,0.0961214165261383,455,11,7,0.125274725274725,8.83289001416474
"37","F16",549.2,49.8,"95","F",52,3,593,0.0876897133220911,300,11,9,0.173333333333333,8.2336196767597
