Burrow,5:07:16,5:08:16,5:09:16,5:10:16,5:11:16,5:12:16,5:13:16,5:14:16,5:15:16,5:16:16,5:17:16,5:18:16
A22a,,,,,,,,R21,R21,R21,R21,R21
A22b,,,,,,,,,,R17,R17,R17
A22c,,,,,,,,R11,,,,
A42,,,,R12,,,,,,,,
A50a,,,R1,R1,R1,R1,R1,R1,,,,
A50b,,,,,,,,R22,R22,R22,R22,R22
B30,R6,R6,R6,R6,,,,,,,,
B50,,,,,,R8,R8,R8,R8,R8,R8,R8
B60a,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2
B60b,,,,,,,,R23,R23,R23,R23,R23
C50,,,R8,R8,R8,,,,,,,
C51,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4
C59,R5,,,,,,,,,,,
C60a,,,,R11,,,,,,,,
C60b,,,,,,,,,R1,R1,R1,R1
D1,,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9
D2,,,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10
D21,,,,,R12,R12,R12,R12,,,,
D23,,,,,R13,R13,R13,R13,R13,R13,R13,R13
D29,,,,,,R18,R18,,,,,
D45,,R8,,,,,,,,,,
D50,,R7,R7,R7,R7,,,,,,,
D52,,,,,R11,R11,R11,,,,,
D53,,R10,,,,,,,,,,
E13a,,,,,,R17,R17,R17,R17,,,
E13b,,,,,,R7,R7,R7,R7,R7,R7,R7
E13c,,,,,,,R6,R6,R6,R6,R6,R6
E45,,,,R5,,,,,,,,
E59,,,,,R6,R6,,,,,,
F22a,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3
F22b,,,,,,R19,R19,R19,R19,R19,R19,R19
F31a,,,,R15,R15,R15,R15,R15,R15,R15,R15,R15
F31b,,,,,,R16,R16,R16,R16,R16,R16,R16
F49,,R5,,,,,,,,,,
F50,,,R5,,R5,R5,R5,R5,,,,
F54,,,,,,R20,R20,R20,R20,R20,R20,R20
G1a,,,,,,,,,,R11,R11,R11
G1b,,,,,,,,R24,R24,R24,R24,R24
G39,,,,R14,R14,R14,R14,R14,R14,R14,R14,R14
G47,R3,R3,,,,,,,,,,
G48,,,,,,,,,R5,R5,R5,R5
G49a,,,,,,,,R18,R18,R18,R18,R18
G49b,,,,,,,,,R12,R12,R12,R12
H1,,,,,,,,,R25,R25,R25,R25
