Burrow,11:10:17,11:11:17,11:12:17,11:13:17,11:14:17,11:15:17,11:16:17,11:17:17,11:18:17,11:19:17,11:20:17,11:21:17,11:22:17,11:23:17,11:24:17,11:25:17,11:26:17,11:27:17,11:28:17,11:29:17,11:30:17,12:01:17
A1a,,R7,R7,R7,R7,R7,,R7,,,,,,,,,,,,,,
A1b,,,,,R5,R5,R5,R5,R5,R5,,,,,,,,,,,,
A2a,,,,,,,,,,,,,,,,R22,R22,R22,R22,R22,R22,R22
A2b,,,,,,,,,,,,,R5,R12,R12,R12,R12,R12,R12,R12,R12,R12
A2c,,,,,,,,,,,,,,,R5,R5,R5,R5,R5,R5,R5,R5
A2d,,,,,,,,,,,R5,R5,,,,,,,,,,
A64,,,,,,,,,,,R3,R3,,,,,,,,,,
A65,,,,,,,,R4,R4,,,,,,,,,,,,,
A66a,,,,,,,,,,,,,R3,R3,R10,R10,R10,R10,R10,R10,R10,R10
A66b,,,,,,,R3,R3,R3,R3,,,,,,,,,,,,
A67,,,,,,,,,,,,,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16
A9,,,,,,,,,,R7,R7,R7,,,,,,,,,,
B16,,,,,R19,R19,R19,,,,,,,,,,,,,,,
B21,,,,,,R22,R22,R22,R22,R22,R22,R22,R31,R31,R31,R31,R31,R31,R31,R31,R31,R31
B22,,,,R16,R16,R16,R16,R16,R16,R16,R16,R16,R32,R32,R32,R32,R32,R32,R32,R32,R32,R32
B59a,,,,,,,,,,,R19,R19,R19,R19,R19,R19,R7,R7,R7,,,
B59b,,,,,,,,,,,,,,,,,R19,R19,R19,R7,,
B60,,,,,,,,,,R19,,,,,,,,,,,,
C1,R1,R1,R1,R1,R1,R1,R1,R1,R1,,,,,,,,,,,,,
C17,,,,R11,R11,R11,,,,,,,,,,,,,,,,
C19,R9,R4,R4,R4,R4,R4,R4,R32,R32,R32,R32,R32,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29
C49,,,,,,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23
C68,,,,,,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21
D1a,,,,,,,,,,,,,R7,R7,,,,,,,,
D1b,R4,R9,R9,R9,R9,R9,R9,R9,R9,R9,,,,,,,,,,,,
D1c,,,,,,,,,,,R9,R9,,,,,,,,,,
D57,,,,,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20
D9a,,,,,,,,,,,R11,R11,R11,,,,,,,,,
D9b,,,,,,,,,,,,,,,R11,R11,R11,R11,R11,R11,R11,R11
D9c,,,,,,,,R11,R11,R11,,,,,,,,,,,,
E16,,,,,,,,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14
E69,,,,,,,,,,R4,R4,R4,,,,,,,,,,
E70a,,,,,,,,,,,,,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4
E70b,,,,,,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24
F16,,,,,,,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25
F23a,,,,R14,R14,R14,R14,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30
F23b,,,,,,,R11,,,,,,,,,,,,,,,
F3,,,R5,R5,R5,,,,,,,,,,,,,,,,,
F62,,,,,,,,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17
F70a,,,,,,,,R10,R10,R10,R10,R10,R10,R10,R3,R3,R3,,,,,
F70b,,,,,,,,,,,,,,,,,,R18,R18,R18,R18,R18
G2,,,,,,,,,,,,,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9
G3,,R3,R3,R3,,,,,,,,,,,,,,,,,,
G42,,,,,R18,R18,R18,R18,,,,,,,,,,,,,,
G4a,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2
G4b,,,,,,,,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15
G59,,,,,,,,,,,R18,R18,,,,,,,,,,
G60,,,,,,,,,,,,,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8
G6a,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6
G6b,,,,R15,R15,R15,R15,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28
G6c,,,,,R3,R3,,,,,,,,,,,,,,,,
H15a,,R8,R8,R8,R8,R8,R8,R31,R31,R31,R31,R31,R26,R22,R26,R26,R26,R26,R26,R26,R26,R26
H15b,,,,,R17,R17,R17,,,,,,,,,,,,,,,
H15c,,R10,R10,R10,R10,R10,R10,R27,R27,R27,R27,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13
H2,,,,,,,,,,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1
H31a,,,,,,,R26,R26,R26,R26,R26,R26,R22,,R22,R7,,,,,,
H31b,,,,,,,,R8,R8,R8,,,,,,,,,,,,
H40,,,,,,,R12,,,,,,,,,,,,,,,
H41a,,,,,,,,,R18,R18,,,,,,,,,,,,
H41b,,,,,,,,R12,R12,R12,R12,R12,R12,,R7,,,,,,,
H58a,,,,,,,,,,,,,R18,R18,R18,R18,R18,R3,R3,,,
H58b,,,,,,,,,,,R8,R8,,,,,,,,,,
I17,,,,R13,R13,R13,R13,R13,R13,R13,R13,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27
I31,,,,,,,,,,,,,,,,,,,,R19,R19,R19
I40,,,R12,R12,R12,,,,,,,,,,,,,,,,,
